tracklet_id,flight_id,cls,n_steps,n_obs,mean_dir_deg,R,rayleigh_p,median_inlier,disp_px,trusted
141,10,0,3,4,241.22,0.3068,0.78504,0.7561,57.43,False
142,10,0,4,5,14.57,0.0869,0.973744,0.5822,25.17,False
143,10,0,2,3,275.37,0.9813,0.151381,0.5913,221.65,False
144,13,0,48,49,29.87,0.1768,0.22397,0.869,288.25,False
145,13,0,24,25,347.33,0.2873,0.138097,0.8785,241.0,False
146,13,0,23,24,16.54,0.1992,0.406005,0.8867,6.05,False
147,13,0,24,25,86.31,0.466,0.004478,0.8785,125.29,False
148,13,0,23,24,43.86,0.2985,0.128626,0.8867,111.32,False
149,13,0,22,23,79.63,0.4797,0.005181,0.8869,142.31,False
150,13,0,0,1,,0.0,1.0,0.0,0.0,False
151,13,0,47,48,320.13,0.1753,0.237068,0.8694,378.44,False
152,13,0,22,23,60.39,0.3138,0.11409,0.8869,174.26,False
153,13,0,9,10,165.49,0.1663,0.78914,0.9261,33.49,False
154,13,0,8,9,191.12,0.1082,0.915634,0.9241,10.23,False
155,13,0,0,1,,0.0,1.0,0.0,0.0,False
156,13,0,0,1,,0.0,1.0,0.0,0.0,False
157,13,0,20,21,273.24,0.3626,0.070528,0.8666,101.49,False
158,13,0,22,23,300.48,0.1404,0.653187,0.8698,52.87,False
159,13,0,20,21,272.1,0.2975,0.171296,0.8698,79.08,False
160,13,0,21,22,254.52,0.3585,0.06571,0.8701,87.87,False
161,13,0,21,22,334.08,0.2856,0.181441,0.8701,60.22,False
162,13,0,21,22,244.03,0.1818,0.504908,0.8701,47.8,False
163,13,0,34,35,19.28,0.2048,0.241904,0.8429,1279.03,False
164,13,0,20,21,167.84,0.0088,0.998503,0.8857,6.5,False
165,13,0,20,21,253.38,0.1348,0.700414,0.8857,46.17,False
166,13,0,19,20,99.56,0.0245,0.988914,0.8884,17.72,False
167,13,0,19,20,161.2,0.3944,0.050002,0.8884,26.12,False
168,13,0,18,19,263.82,0.108,0.814714,0.894,5.71,False
169,13,0,14,15,213.38,0.2656,0.37952,0.8857,112.09,False
170,13,0,9,10,91.86,0.3186,0.412714,0.686,111.5,False
171,13,0,7,8,91.8,0.2026,0.763595,0.7182,72.49,False
172,13,0,11,12,90.4,0.0313,0.989726,0.686,21.83,False
173,13,0,11,12,83.8,0.1658,0.747653,0.686,45.86,False
174,14,0,11,12,344.41,0.2269,0.578445,0.8478,215.99,False
175,14,0,14,15,351.35,0.2869,0.321618,0.8712,10.01,False
176,14,0,13,14,294.57,0.2999,0.316785,0.8783,57.77,False
177,14,0,3,4,134.66,0.3405,0.7413,0.8395,1.97,False
178,14,0,29,30,254.62,0.1776,0.404321,0.7611,521.5,False
179,14,0,29,30,198.88,0.0496,0.932252,0.7667,488.08,False
180,14,0,8,9,79.24,0.3099,0.478335,0.762,262.03,False
181,14,0,6,7,357.14,0.3017,0.599202,0.7707,49.08,False
182,14,0,2,3,76.62,0.9968,0.139558,0.8089,143.02,False
183,14,0,1,2,35.76,1.0,0.512221,0.7667,56.22,False
184,14,0,1,2,109.73,1.0,0.512221,0.7667,103.42,False
185,14,0,4,5,228.44,0.2763,0.761201,0.7564,1.51,False
186,14,0,21,22,202.1,0.1116,0.77395,0.7572,482.63,False
187,14,0,22,23,134.14,0.2237,0.336387,0.7592,514.62,False
188,14,0,12,13,283.59,0.4265,0.111757,0.7963,248.16,False
189,14,0,11,12,205.29,0.2082,0.631241,0.7818,79.2,False
190,14,0,12,13,254.15,0.1361,0.807236,0.8184,89.23,False
191,14,0,11,12,195.97,0.1043,0.891759,0.8107,70.91,False
192,14,0,11,12,210.68,0.1796,0.710659,0.8107,1.4,False
193,14,0,13,14,267.75,0.2223,0.535086,0.8261,63.85,False
194,14,0,14,15,248.11,0.1725,0.667153,0.8469,238.28,False
